Symbol,BasicPrice,OpenPrice,HighPrice,LowPrice,ClosePrice,AveragePrice,Volume,AdjustPrice,Ceiling,Floor,AverageAdjustPrice,TotalValue,AgreedVolume,AgreedValue,ChangePrice
CC1,13.5,14.5,14.5,13.5,14,14,439,14,15.5,11.5,14,6136400,0,0,0.50 (3.70 %)
,,,,,,,,,,,,,,,
CGV,2.7,2.8,2.8,2.8,2.8,2.8,100,2.8,3.1,2.3,2.8,280000,0,0,0.10 (3.70 %)
,,,,,,,,,,,,,,,
BOT,2.7,2.7,2.8,2.7,2.8,2.8,576970,2.8,3.1,2.3,2.8,1583911900,0,0,0.10 (3.70 %)
,,,,,,,,,,,,,,,
PDC,5.4,5.6,5.6,5.6,5.6,5.6,100,5.6,6.2,4.6,5.6,560000,0,0,0.20 (3.70 %)
,,,,,,,,,,,,,,,
HU4,11.3,11.9,11.9,11.7,11.7,11.7,200,11.7,12.9,9.7,11.7,2360000,0,0,0.40 (3.54 %)
,,,,,,,,,,,,,,,
VMG,2.9,3,3,3,3,3,100,3,3.3,2.5,3,300000,0,0,0.10 (3.45 %)
,,,,,,,,,,,,,,,
BQB,3,3.4,3.4,2.8,3.1,3.1,10300,3.1,3.4,2.6,3.1,29930000,0,0,0.10 (3.33 %)
,,,,,,,,,,,,,,,
UDJ,9.1,9.2,9.4,9.2,9.4,9.4,19000,9.4,10.4,7.8,9.4,176600000,0,0,0.30 (3.30 %)
,,,,,,,,,,,,,,,
HEP,12.6,12.9,13,12.9,13,13,1912,13,14.4,10.8,13,24688000,0,0,0.40 (3.17 %)
,,,,,,,,,,,,,,,
H11,6.3,5.7,6.5,5.7,6.5,6.5,300,6.5,7.2,5.4,6.5,1870000,0,0,0.20 (3.17 %)
,,,,,,,,,,,,,,,
ANT,9.6,9.1,9.9,8.2,9.9,9.9,21500,9.9,11,8.2,9.9,193890000,0,0,0.30 (3.13 %)
,,,,,,,,,,,,,,,
VNZ,466,475,480,475,480,480,1366,480,535.9,396.1,480,654217000,0,0,14.00 (3.00 %)
,,,,,,,,,,,,,,,
DTI,3.5,3.6,3.6,3.5,3.6,3.6,32100,3.6,4,3,3.6,115060000,0,0,0.10 (2.86 %)
,,,,,,,,,,,,,,,
C92,3.6,3.7,3.7,3.7,3.7,3.7,500,3.7,4.1,3.1,3.7,1850000,0,0,0.10 (2.78 %)
,,,,,,,,,,,,,,,
SAS,25.6,26.3,26.3,26.3,26.3,26.3,601,26.3,29.4,21.8,26.3,15807800,0,0,0.70 (2.73 %)
,,,,,,,,,,,,,,,
SCJ,3.7,3.7,3.8,3.7,3.8,3.8,730,3.8,4.2,3.2,3.8,2751000,0,0,0.10 (2.70 %)
,,,,,,,,,,,,,,,
APF,64.3,62,66,62,66,66,44825,66,73.9,54.7,66,2933100000,0,0,1.70 (2.64 %)
,,,,,,,,,,,,,,,
PHS,15.4,15.8,15.8,15.8,15.8,15.8,101,15.8,17.7,13.1,15.8,1595200,0,0,0.40 (2.60 %)
,,,,,,,,,,,,,,,
IFS,31.8,32,32.7,32,32.6,32.6,3440,32.6,36.5,27.1,32.6,111544000,0,0,0.80 (2.52 %)
,,,,,,,,,,,,,,,
PTV,4,4.2,4.2,4.1,4.1,4.1,2010,4.1,4.6,3.4,4.1,8262000,0,0,0.10 (2.50 %)
,,,,,,,,,,,,,,,
KCB,8.1,8.4,8.4,8.2,8.3,8.3,4701,8.3,9.3,6.9,8.3,38578000,0,0,0.20 (2.47 %)
,,,,,,,,,,,,,,,
TOS,48.8,50.6,51,49,50,50,69600,50,56.1,41.5,50,3441470000,0,0,1.20 (2.46 %)
,,,,,,,,,,,,,,,
SZE,12.7,13,13,13,13,13,100,13,14.6,10.8,13,1300000,0,0,0.30 (2.36 %)
,,,,,,,,,,,,,,,
HTE,4.6,4.9,4.9,4.6,4.7,4.7,939,4.7,5.2,4,4.7,4434200,0,0,0.10 (2.17 %)
,,,,,,,,,,,,,,,
VBB,9.6,9.7,9.8,9.6,9.8,9.8,18000,9.8,11,8.2,9.8,174590000,0,0,0.20 (2.08 %)
,,,,,,,,,,,,,,,
VTP,73.9,75.4,77.9,74.5,75.4,0,1792500,75.4,79,68.8,0,1.3623E+11,0,0,-73.90 (-100.00 %)
,,,,,,,,,,,,,,,
BLT,40.5,41.4,41.5,41.3,41.3,41.3,3000,41.3,46.5,34.5,41.3,124030000,0,0,0.80 (1.98 %)
,,,,,,,,,,,,,,,
TTN,10.2,10.4,10.6,10.3,10.4,10.4,49000,10.4,11.7,8.7,10.4,510730000,0,0,0.20 (1.96 %)
,,,,,,,,,,,,,,,
PHP,21.4,21.4,21.8,21.1,21.8,21.8,15200,21.8,24.6,18.2,21.8,328640000,0,0,0.40 (1.87 %)
,,,,,,,,,,,,,,,
MPC,16.1,16.1,16.5,16.1,16.4,16.4,43811,16.4,18.5,13.7,16.4,717460400,0,0,0.30 (1.86 %)
,,,,,,,,,,,,,,,
BVB,10.8,10.8,11.1,10.8,11,11,297852,11,12.4,9.2,11,3267561100,0,0,0.20 (1.85 %)
,,,,,,,,,,,,,,,
TIE,5.5,5.1,5.6,5,5.6,5.6,600,5.6,6.3,4.7,5.6,3130000,0,0,0.10 (1.82 %)
,,,,,,,,,,,,,,,
DRI,11,11.1,11.5,11,11.2,11.2,307688,11.2,12.6,9.4,11.2,3444913200,0,0,0.20 (1.82 %)
,,,,,,,,,,,,,,,
TVN,5.6,5.7,5.7,5.6,5.7,5.7,39060,5.7,6.4,4.8,5.7,219075400,0,0,0.10 (1.79 %)
,,,,,,,,,,,,,,,
ILA,5.7,5.7,5.8,5.6,5.8,5.8,32700,5.8,6.5,4.9,5.8,186250000,0,0,0.10 (1.75 %)
,,,,,,,,,,,,,,,
VSE,5.9,6,6,6,6,6,100,6,6.7,5.1,6,600000,0,0,0.10 (1.69 %)
,,,,,,,,,,,,,,,
SCL,36.4,37,37,36.4,37,37,15900,37,41.8,31,37,582850000,0,0,0.60 (1.65 %)
,,,,,,,,,,,,,,,
MFS,24.5,24.8,24.9,24.6,24.9,24.9,2201,24.9,28.1,20.9,24.9,54625500,0,0,0.40 (1.63 %)
,,,,,,,,,,,,,,,
SJM,6.3,6.4,6.4,6.4,6.4,6.4,1210,6.4,7.2,5.4,6.4,7734000,0,0,0.10 (1.59 %)
,,,,,,,,,,,,,,,
MTP,12.8,13.4,13.4,13,13,13,548,13,14.7,10.9,13,7213600,0,0,0.20 (1.56 %)
,,,,,,,,,,,,,,,
TEL,13,13,13.2,13,13.2,13.2,15900,13.2,14.9,11.1,13.2,209700000,0,0,0.20 (1.54 %)
,,,,,,,,,,,,,,,
G36,6.9,6.9,7,6.8,7,7,167890,7,7.9,5.9,7,1156719600,0,0,0.10 (1.45 %)
,,,,,,,,,,,,,,,
CQN,28,28,28.5,28,28.4,28.4,10730,28.4,32.2,23.8,28.4,303670000,0,0,0.40 (1.43 %)
,,,,,,,,,,,,,,,
KGM,7,7.1,7.2,7.1,7.1,7.1,21125,7.1,8,6,7.1,151128500,0,0,0.10 (1.43 %)
,,,,,,,,,,,,,,,
DDN,7.6,7.7,7.7,7.7,7.7,7.7,475,7.7,8.7,6.5,7.7,3633800,0,0,0.10 (1.32 %)
,,,,,,,,,,,,,,,
NS2,7.6,7.9,7.9,7.7,7.7,7.7,206,7.7,8.7,6.5,7.7,1608600,0,0,0.10 (1.32 %)
,,,,,,,,,,,,,,,
CAR,22.9,22.9,23.2,22.9,23.2,23.2,4660,23.2,26.3,19.5,23.2,107514000,0,0,0.30 (1.31 %)
,,,,,,,,,,,,,,,
ABB,7.7,7.7,7.8,7.6,7.8,7.8,1053983,7.8,8.8,6.6,7.8,8119078400,0,0,0.10 (1.30 %)
,,,,,,,,,,,,,,,
ABI,23.6,23.2,24.1,23.2,23.9,23.9,3509,23.9,27.1,20.1,23.9,83962700,0,0,0.30 (1.27 %)
,,,,,,,,,,,,,,,
SWC,26.7,27,27,27,27,27,1200,27,30.7,22.7,27,32400000,0,0,0.30 (1.12 %)
,,,,,,,,,,,,,,,
BRR,18.4,19.8,19.8,18.4,18.6,18.6,900,18.6,21.1,15.7,18.6,16800000,0,0,0.20 (1.09 %)
,,,,,,,,,,,,,,,
HAN,9.2,9.3,9.3,9.3,9.3,9.3,200,9.3,10.5,7.9,9.3,1860000,0,0,0.10 (1.09 %)
,,,,,,,,,,,,,,,
VGV,28.2,28.1,28.5,28.1,28.5,28.5,2400,28.5,32.4,24,28.5,67550000,0,0,0.30 (1.06 %)
,,,,,,,,,,,,,,,
BMS,9.8,9.9,10,9.7,9.9,9.9,91419,9.9,11.2,8.4,9.9,904609400,0,0,0.10 (1.02 %)
,,,,,,,,,,,,,,,
AMS,10.2,10.4,10.6,10.1,10.3,10.3,75000,10.3,11.7,8.7,10.3,770630000,0,0,0.10 (0.98 %)
,,,,,,,,,,,,,,,
BMF,10.3,10.4,10.9,10.4,10.4,10.4,4100,10.4,11.8,8.8,10.4,43680000,0,0,0.10 (0.97 %)
,,,,,,,,,,,,,,,
BLI,10.4,10,10.5,10,10.5,10.5,18402,10.5,11.9,8.9,10.5,188920800,0,0,0.10 (0.96 %)
,,,,,,,,,,,,,,,
SNZ,31.3,31.8,31.8,30.3,31.6,31.6,2803,31.6,35.9,26.7,31.6,88860000,0,0,0.30 (0.96 %)
,,,,,,,,,,,,,,,
NCG,10.5,10.7,11,10,10.6,10.6,6801,10.6,12,9,10.6,70930300,0,0,0.10 (0.95 %)
,,,,,,,,,,,,,,,
HPP,63.3,63.9,63.9,63.9,63.9,63.9,100,63.9,72.7,53.9,63.9,6390000,0,0,0.60 (0.95 %)
,,,,,,,,,,,,,,,
